[I 2023-08-09 11:49:51,247] A new study created in memory with name: no-name-8317af28-a39a-4a42-8212-236995cba082
[I 2023-08-09 13:00:04,489] Trial 37 finished with value: 0.596526 and parameters: {'alpha': 4, 'beta': 2.0, 'l1_in': 256, 'actor_l2_in': 256, 'actor_l3_in': 256, 'actor_l4_in': 256, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0006}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:01:55,076] Trial 38 finished with value: 0.5918699999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 192, 'actor_l2_in': 192, 'actor_l3_in': 64, 'actor_l4_in': 64, 'critic_l2_in': 128, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0007}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:03:39,452] Trial 39 finished with value: 0.7142299999999999 and parameters: {'alpha': 8, 'beta': 1.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 128, 'critic_l4_in': 64, 'actor_lr': 0.0008}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:05:25,218] Trial 40 finished with value: 0.6233739999999999 and parameters: {'alpha': 10, 'beta': 3.0, 'l1_in': 64, 'actor_l2_in': 64, 'actor_l3_in': 256, 'actor_l4_in': 128, 'critic_l2_in': 192, 'critic_l3_in': 64, 'critic_l4_in': 128, 'actor_lr': 0.0005}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:07:12,980] Trial 41 finished with value: 0.7884220000000001 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:09:02,041] Trial 42 finished with value: 0.794952 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:10:51,778] Trial 43 finished with value: 0.795136 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:12:40,898] Trial 44 finished with value: 0.794488 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:14:30,570] Trial 45 finished with value: 0.7736099999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:16:27,051] Trial 46 finished with value: 0.7789219999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 256, 'critic_l3_in': 256, 'critic_l4_in': 256, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:18:15,603] Trial 47 finished with value: 0.761294 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 192, 'critic_l4_in': 256, 'actor_lr': 0.0004}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:20:02,684] Trial 48 finished with value: 0.7950519999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 26 with value: 0.7969999999999999.
[I 2023-08-09 13:21:50,868] Trial 49 finished with value: 0.8082339999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 49 with value: 0.8082339999999999.
[I 2023-08-09 13:23:36,851] Trial 50 finished with value: 0.592034 and parameters: {'alpha': 8, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 192, 'critic_l3_in': 64, 'critic_l4_in': 192, 'actor_lr': 0.0009}. Best is trial 49 with value: 0.8082339999999999.
[I 2023-08-09 13:25:24,826] Trial 51 finished with value: 0.78967 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 49 with value: 0.8082339999999999.
[I 2023-08-09 13:27:12,924] Trial 52 finished with value: 0.8056300000000001 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 49 with value: 0.8082339999999999.
[I 2023-08-09 13:28:59,124] Trial 53 finished with value: 0.7899339999999999 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 49 with value: 0.8082339999999999.
[I 2023-08-09 13:30:47,172] Trial 54 finished with value: 0.813016 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:32:41,882] Trial 55 finished with value: 0.791556 and parameters: {'alpha': 2, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 256, 'critic_l3_in': 256, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 54 with value: 0.813016.
[I 2023-08-09 13:34:30,478] Trial 56 finished with value: 0.548304 and parameters: {'alpha': 10, 'beta': 2.5, 'l1_in': 128, 'actor_l2_in': 192, 'actor_l3_in': 192, 'actor_l4_in': 192, 'critic_l2_in': 64, 'critic_l3_in': 192, 'critic_l4_in': 192, 'actor_lr': 0.0001}. Best is trial 54 with value: 0.813016.
